chr12	25378511	25378611
chr12	25378512	25378612
chr12	25380225	25380325
chr12	25380226	25380326
chr12	25380227	25380327
chr12	25398230	25398331
chr12	25398231	25398331
chr12	25398233	25398334
chr12	25398233	25398335
chr12	25398234	25398334
chr12	25398235	25398335
chr17	37880931	37881031
chr17	37880934	37881034
chr17	37880945	37881045
chr17	37880946	37881046
chr17	37880947	37881047
chr17	37880960	37881060
chr17	37880961	37881061
chr17	7577070	7577170
chr17	7577071	7577171
chr17	7577487	7577588
chr17	7577488	7577588
chr17	7577489	7577589
chr17	7577489	7577590
chr17	7578356	7578456
chr17	7578357	7578457
chr2	29432632	29432732
chr2	29443550	29443650
chr2	29443560	29443660
chr2	29443563	29443663
chr2	29443581	29443681
chr2	29443647	29443747
chr2	29445163	29445263
chr2	29445208	29445308
chr2	29445220	29445320
chr2	29445221	29445321
chr3	178916826	178916926
chr3	178936032	178936132
chr3	178936041	178936141
chr3	178936043	178936143
chr3	178952035	178952135
chr7	116411835	116411951
chr7	116411839	116411949
chr7	116411966	116412086
chr7	116411972	116412072
chr7	116411973	116412073
chr7	116411989	116412100
chr7	116411993	116412093
chr7	116411994	116412094
chr7	116411995	116412095
chr7	116411996	116412096
chr7	140453085	140453186
chr7	140453086	140453186
chr7	140453086	140453187
chr7	140453086	140453188
chr7	55241656	55241757
chr7	55241657	55241757
chr7	55241658	55241758
chr7	55242415	55242529
chr7	55242415	55242532
chr7	55242416	55242530
chr7	55242416	55242533
chr7	55242417	55242531
chr7	55242417	55242534
chr7	55242417	55242535
chr7	55242418	55242528
chr7	55242418	55242532
chr7	55242418	55242535
chr7	55242419	55242527
chr7	55242419	55242528
chr7	55242419	55242531
chr7	55242419	55242533
chr7	55242419	55242536
chr7	55242419	55242538
chr7	55242420	55242531
chr7	55242420	55242534
chr7	55242420	55242537
chr7	55248955	55249055
chr7	55248959	55249059
chr7	55248962	55249062
chr7	55248971	55249071
chr7	55249021	55249121
chr7	55249041	55249141
chr7	55249042	55249142
chr7	55259464	55259565
chr7	55259465	55259565
chr7	55259465	55259566
chr7	55259474	55259574
